Material,Aggregate Percent,Refuse Percent,MGP Percent,Paper Percent,Organic Percent,Material Group,DSNY Diversion Summary Category,Location
Drinking Cups - Paper and Plastic: Plastic - Durable: Compostable,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Drinking Cups - Paper and Plastic: Plastic - Durable: Other & Unlabeled,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
K-Cups: Predominanty Plastic: #1 PET All,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
K-Cups: Predominanty Plastic: #2 HDPE Natural,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
K-Cups: Predominanty Plastic: #2 HDPE Pig.,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
K-Cups: Predominanty Plastic: #3 PVC,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
K-Cups: Predominanty Plastic: #4 LDPE/LLDPE,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
K-Cups: Predominanty Plastic: #5 PP Rigid,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
K-Cups: Predominanty Plastic: #5 PP Expanded,0,0,0,0,0,Plastic,Other,Brooklyn
K-Cups: Predominanty Plastic: #6 PS Rigid,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
K-Cups: Predominanty Plastic: #7 Other,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
K-Cups: Predominanty Plastic: Compostable,0,0,0,0,0,Plastic,Organics Suitable for Composting,Brooklyn
K-Cups: Predominanty Plastic: Other & Unlabeled,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
K-Cups: Predominanty Metal,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
K-Cups: Predominanty Organic,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Plastic Bottles: #1 PET - Clear,0.012,0.009,0.056,0.002,0.001,Plastic,Designated MGP,Brooklyn
Plastic Bottles: #1 PET - Green,0,0,0.002,0,0,Plastic,Designated MGP,Brooklyn
Plastic Bottles: #1 PET - Other,0.001,0.001,0.005,0,0,Plastic,Designated MGP,Brooklyn
#2 HDPE Natural Bottles,0.005,0.002,0.031,0,0,Plastic,Designated MGP,Brooklyn
#2 HDPE Colored Bottles,0.005,0.003,0.029,0,0,Plastic,Designated MGP,Brooklyn
Plastic Bottles: #3 PVC,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Plastic Bottles: #4 LDPE/LLDPE,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Plastic Bottles: #5 PP Rigid,0.001,0.001,0.004,0,0,Plastic,Designated MGP,Brooklyn
Plastic Bottles: #5 PP Expanded,0,0,0,0,0,Plastic,Other,Brooklyn
Plastic Bottles: #6 PS Rigid,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Plastic Bottles: #7 Other,0,0,0.001,0,0,Plastic,Designated MGP,Brooklyn
Plastic Bottles: Compostable,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Plastic Bottles: Other & Unlabeled,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Thermoforms: #1 PET All,0.004,0.003,0.018,0.001,0.001,Plastic,Designated MGP,Brooklyn
Thermoforms: #2 HDPE Natural,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Thermoforms: #2 HDPE Pig.,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Thermoforms: #3 PVC,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Thermoforms: #4 LDPE/LLDPE,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Thermoforms: #5 PP Rigid,0.002,0.002,0.009,0,0,Plastic,Designated MGP,Brooklyn
Thermoforms: #5 PP Expanded,0,0,0,0,0,Plastic,Other,Brooklyn
Thermoforms: #6 PS Rigid,0.001,0.001,0.004,0,0,Plastic,Designated MGP,Brooklyn
Thermoforms: #7 Other,0,0,0.001,0,0,Plastic,Designated MGP,Brooklyn
Thermoforms: Compostable,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Thermoforms: Other & Unlabeled,0.001,0.001,0.002,0.001,0,Plastic,Designated MGP,Brooklyn
Other PVC (Non-bottle),0,0,0.002,0,0,Plastic,Designated MGP,Brooklyn
Rigid Plastics: Tubs & Lids: #1 PET All,0.001,0.001,0.002,0,0,Plastic,Designated MGP,Brooklyn
Rigid Plastics: Tubs & Lids: #2 HDPE Natural,0,0,0.002,0,0,Plastic,Designated MGP,Brooklyn
Rigid Plastics: Tubs & Lids: #2 HDPE Pig.,0,0,0.003,0,0,Plastic,Designated MGP,Brooklyn
Rigid Plastics: Tubs & Lids: #3 PVC,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Rigid Plastics: Tubs & Lids: #4 LDPE/LLDPE,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Rigid Plastics: Tubs & Lids: #5 PP Rigid,0.004,0.004,0.012,0.001,0.001,Plastic,Designated MGP,Brooklyn
Rigid Plastics: Tubs & Lids: #5 PP Expanded,0,0,0,0,0,Plastic,Other,Brooklyn
Rigid Plastics: Tubs & Lids: #6 PS Rigid,0.001,0.002,0.002,0,0,Plastic,Designated MGP,Brooklyn
Rigid Plastics: Tubs & Lids: #7 Other,0,0,0.001,0,0,Plastic,Designated MGP,Brooklyn
Rigid Plastics: Tubs & Lids: Compostable,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Rigid Plastics: Tubs & Lids: Other & Unlabeled,0.001,0.001,0.004,0,0,Plastic,Designated MGP,Brooklyn
Rigid Plastics: Rigid Container/Pkg: #1 PET All,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Rigid Plastics: Rigid Container/Pkg: #2 HDPE Natural,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Rigid Plastics: Rigid Container/Pkg: #2 HDPE Pig.,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Non-C&D Wood,0.003,0.004,0.002,0.001,0,Organic,Other,Brooklyn
Rigid Plastics: Rigid Container/Pkg: #3 PVC,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Rigid Plastics: Rigid Container/Pkg: #4 LDPE/LLDPE,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Rigid Plastics: Rigid Container/Pkg: #5 PP Rigid,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Rigid Plastics: Rigid Container/Pkg: #5 PP Expanded,0,0,0,0,0,Plastic,Other,Brooklyn
Rigid Plastics: Rigid Container/Pkg: #6 PS Rigid,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Rigid Plastics: Rigid Container/Pkg: #7 Other,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Rigid Plastics: Rigid Container/Pkg: Compostable,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Rigid Plastics: Rigid Container/Pkg: Other & Unlabeled,0,0,0.001,0,0,Plastic,Designated MGP,Brooklyn
Expanded Polystyrene Containers & Packaging (EPS): Clamshells,0.002,0.002,0,0,0,Plastic,Other,Brooklyn
Expanded Polystyrene Containers & Packaging (EPS): Single Use Cups,0,0,0,0,0,Plastic,Other,Brooklyn
Expanded Polystyrene Containers & Packaging (EPS): Singe Use Other,0.002,0.002,0,0,0.001,Plastic,Other,Brooklyn
Expanded Polystyrene Containers & Packaging (EPS): Food Packaging,0.003,0.004,0.001,0.001,0,Plastic,Other,Brooklyn
Expanded Polystyrene Containers & Packaging (EPS): Non-food Packaging,0.001,0.001,0.001,0.002,0,Plastic,Other,Brooklyn
Film: Garbage Bags,0.024,0.026,0.025,0.01,0.009,Plastic,Other,Brooklyn
Film: Pouches,0,0,0.001,0,0,Plastic,Other,Brooklyn
Film: Oversize: Other PE Film,0.002,0.002,0.001,0,0,Plastic,Other,Brooklyn
Film: Oversize: Non-PE Film,0.002,0.002,0,0,0,Plastic,Other,Brooklyn
Other Plastic Bags & Film: Grocery/Merch Bags,0.019,0.022,0.009,0.001,0.003,Plastic,Plastic Bags,Brooklyn
Other Plastic Bags & Film: Produce Bags,0.001,0.001,0,0,0.001,Plastic,Plastic Bags,Brooklyn
Other Plastic Bags & Film: Other Sleeves/Clean Bags,0.001,0.001,0,0.001,0.001,Plastic,Plastic Bags,Brooklyn
Other Plastic Bags & Film: Compostable Bags,0,0,0.001,0,0.002,Plastic,Other,Brooklyn
Other Plastic Bags & Film: Other PE Film,0.011,0.012,0.006,0.002,0.001,Plastic,Other,Brooklyn
Other Plastic Bags & Film: Non-PE Film,0.011,0.013,0.004,0.001,0.004,Plastic,Other,Brooklyn
Single Use: #1 PET All,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Single Use: #2 HDPE Natural,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Single Use: #2 HDPE Pig.,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Single Use: #3 PVC,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Single Use: #4 LDPE/LLDPE,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Single Use: #5 PP Rigid,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Single Use: #5 PP Expanded,0,0,0,0,0,Plastic,Other,Brooklyn
Single Use: #6 PS Rigid,0.002,0.002,0.001,0,0,Plastic,Designated MGP,Brooklyn
Single Use: #7 Other,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Single Use: Compostable,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Single Use: Other & Unlabeled,0.003,0.004,0.001,0,0,Plastic,Designated MGP,Brooklyn
Appliances: Plastic: #1 PET All,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Appliances: Plastic: #2 HDPE Natural,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Appliances: Plastic: #2 HDPE Pig.,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Appliances: Plastic: #3 PVC,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Appliances: Plastic: #4 LDPE/LLDPE,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Appliances: Plastic: #5 PP Rigid,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Appliances: Plastic: #5 PP Expanded,0,0,0,0,0,Plastic,Other,Brooklyn
Appliances: Plastic: #6 PS Rigid,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Appliances: Plastic: #7 Other,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Appliances: Plastic: Compostable,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Appliances: Plastic: Other & Unlabeled,0.001,0.001,0.003,0,0,Plastic,Designated MGP,Brooklyn
Bulk/Rigid Plastics: Crates/Soda Carrier: #1 PET All,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Bulk/Rigid Plastics: Crates/Soda Carrier: #2 HDPE Natural,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Bulk/Rigid Plastics: Crates/Soda Carrier: #2 HDPE Pig.,0,0,0.002,0,0,Plastic,Designated MGP,Brooklyn
Bulk/Rigid Plastics: Crates/Soda Carrier: #3 PVC,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Bulk/Rigid Plastics: Crates/Soda Carrier: #4 LDPE/LLDPE,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Bulk/Rigid Plastics: Crates/Soda Carrier: #5 PP Rigid,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Bulk/Rigid Plastics: Crates/Soda Carrier: #5 PP Expanded,0,0,0,0,0,Plastic,Other,Brooklyn
Bulk/Rigid Plastics: Crates/Soda Carrier: #6 PS Rigid,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Bulk/Rigid Plastics: Crates/Soda Carrier: #7 Other,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Bulk/Rigid Plastics: Crates/Soda Carrier: Compostable,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Bulk/Rigid Plastics: Crates/Soda Carrier: Other & Unlabeled,0.001,0,0.007,0,0,Plastic,Designated MGP,Brooklyn
Bulk/Rigid Plastics: Toys/Housewares: #1 PET All,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Bulk/Rigid Plastics: Toys/Housewares: #2 HDPE Natural,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Bulk/Rigid Plastics: Toys/Housewares: #2 HDPE Pig.,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Bulk/Rigid Plastics: Toys/Housewares: #3 PVC,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Bulk/Rigid Plastics: Toys/Housewares: #4 LDPE/LLDPE,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Bulk/Rigid Plastics: Toys/Housewares: #5 PP Rigid,0.001,0,0.003,0,0,Plastic,Designated MGP,Brooklyn
Bulk/Rigid Plastics: Toys/Housewares: #5 PP Expanded,0,0,0,0,0,Plastic,Other,Brooklyn
Bulk/Rigid Plastics: Toys/Housewares: #6 PS Rigid,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Bulk/Rigid Plastics: Toys/Housewares: #7 Other,0,0,0.001,0,0,Plastic,Designated MGP,Brooklyn
Bulk/Rigid Plastics: Toys/Housewares: Compostable,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Bulk/Rigid Plastics: Toys/Housewares: Other & Unlabeled,0.006,0.004,0.035,0.005,0.002,Plastic,Designated MGP,Brooklyn
Bulk/Rigid Plastics: Other Durable: #1 PET All,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Bulk/Rigid Plastics: Other Durable: #2 HDPE Natural,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Bulk/Rigid Plastics: Other Durable: #2 HDPE Pig.,0.001,0.001,0.001,0,0,Plastic,Designated MGP,Brooklyn
Bulk/Rigid Plastics: Other Durable: #3 PVC,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Bulk/Rigid Plastics: Other Durable: #4 LDPE/LLDPE,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Bulk/Rigid Plastics: Other Durable: #5 PP Rigid,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Bulk/Rigid Plastics: Other Durable: #5 PP Expanded,0,0,0,0,0,Plastic,Other,Brooklyn
Bulk/Rigid Plastics: Other Durable: #6 PS Rigid,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Bulk/Rigid Plastics: Other Durable: #7 Other,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Bulk/Rigid Plastics: Other Durable: Compostable,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Bulk/Rigid Plastics: Other Durable: Other & Unlabeled,0.002,0.002,0.007,0,0.003,Plastic,Designated MGP,Brooklyn
Rigid Plastics: Other Plastics: #1 PET All,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Rigid Plastics: Other Plastics: #2 HDPE Natural,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Rigid Plastics: Other Plastics: #2 HDPE Pig.,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Rigid Plastics: Other Plastics: #3 PVC,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Rigid Plastics: Other Plastics: #4 LDPE/LLDPE,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Rigid Plastics: Other Plastics: #5 PP Rigid,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Rigid Plastics: Other Plastics: #5 PP Expanded,0,0,0,0,0,Plastic,Other,Brooklyn
Rigid Plastics: Other Plastics: #6 PS Rigid,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Rigid Plastics: Other Plastics: #7 Other,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Rigid Plastics: Other Plastics: Compostable,0,0,0,0,0,Plastic,Designated MGP,Brooklyn
Rigid Plastics: Other Plastics: Other & Unlabeled,0.011,0.012,0.02,0.002,0.001,Plastic,Designated MGP,Brooklyn
Clear Container Glass,0.017,0.011,0.096,0.002,0.001,Glass,Designated MGP,Brooklyn
Green Container Glass,0.005,0.002,0.041,0.001,0,Glass,Designated MGP,Brooklyn
Brown Container Glass,0.003,0.002,0.018,0,0,Glass,Designated MGP,Brooklyn
Other Color Container Glass,0.001,0.001,0.003,0,0,Glass,Designated MGP,Brooklyn
Mixed Cullet,0.012,0.003,0.107,0.003,0,Glass,Designated MGP,Brooklyn
Other Glass,0.003,0.003,0.008,0.001,0,Glass,Other,Brooklyn
Aluminum Cans,0.003,0.002,0.011,0,0,Metal,Designated MGP,Brooklyn
Aluminum Foil/Containers,0.009,0.01,0.014,0,0,Metal,Designated MGP,Brooklyn
Other Aluminium,0,0,0.002,0,0,Metal,Designated MGP,Brooklyn
Other Non-ferrous,0.002,0.002,0.009,0.001,0,Metal,Designated MGP,Brooklyn
Steel/Tin Food Cans,0.008,0.005,0.044,0.001,0,Metal,Designated MGP,Brooklyn
Empty Aerosol Cans,0.001,0.001,0.005,0,0,Metal,Designated MGP,Brooklyn
Other Ferrous Metal,0.013,0.006,0.092,0.004,0,Metal,Designated MGP,Brooklyn
Mixed Metals,0.008,0.007,0.023,0,0,Metal,Designated MGP,Brooklyn
Appliances: Ferrous,0.004,0.002,0.026,0,0,Metal,Designated MGP,Brooklyn
Appliances: Non-ferrous,0.001,0,0.006,0,0,Metal,Designated MGP,Brooklyn
Yard Waste,0.045,0.051,0,0,0.567,Organic,Organics Suitable for Composting,Brooklyn
Food,0.207,0.246,0.028,0.008,0.343,Organic,Organics Suitable for Composting,Brooklyn
Textiles:  Non-clothing,0.023,0.027,0.002,0.001,0,Organic,Textiles,Brooklyn
Textiles:  Clothing,0.026,0.031,0.004,0.001,0,Organic,Textiles,Brooklyn
Carpet/Upholstery,0.017,0.02,0,0,0,Organic,Other,Brooklyn
Disposable Diapers & Sanitary Products,0.044,0.053,0.002,0,0.002,Organic,Other,Brooklyn
Animal By-Products,0.015,0.018,0.001,0,0.001,Organic,Other,Brooklyn
Shoes/Rubber/Leather,0.013,0.015,0.003,0.001,0,Organic,Textiles,Brooklyn
Garden Hoses,0.001,0,0.007,0,0.003,Organic,Textiles,Brooklyn
Fines,0.031,0.037,0.014,0.002,0.005,Organic,Other,Brooklyn
Miscellaneous Organics,0.007,0.008,0.002,0,0.001,Organic,Other,Brooklyn
Audio/Visual Equipment - TV Peripherals (Covered),0,0,0,0,0,E-Waste,E-Waste,Brooklyn
Audio/Visual Equipment - Other (Non-covered),0.001,0.001,0.004,0,0.002,E-Waste,E-Waste,Brooklyn
Computer Monitors,0,0,0,0,0,E-Waste,E-Waste,Brooklyn
Televisions,0,0,0,0,0,E-Waste,E-Waste,Brooklyn
Other Computer Equipment,0.001,0.001,0.002,0,0.001,E-Waste,E-Waste,Brooklyn
Untreated Dimension Lumber/Pallets/Crates,0.005,0.005,0,0,0,C&D,C&D,Brooklyn
Treated/Contaminated/Composite Wood,0.023,0.028,0.001,0,0,C&D,C&D,Brooklyn
Other C&D Debris Not Elsewhere Classified,0.021,0.026,0.002,0.002,0,C&D,C&D,Brooklyn
Oil Filters,0,0,0,0,0,Special Waste,HHW,Brooklyn
Antifreeze,0,0,0,0,0,Special Waste,HHW,Brooklyn
Wet-Cell Batteries,0,0,0,0,0,Special Waste,HHW,Brooklyn
Water-Based Adhesives/Glues,0,0,0,0,0,Special Waste,HHW,Brooklyn
Latex Paint,0.001,0.001,0.001,0,0,Special Waste,HHW,Brooklyn
Oil-Based Paint/Solvent,0,0,0,0,0,Special Waste,HHW,Brooklyn
Pesticides/Herbicides/Rodenticides,0,0,0.001,0,0,Special Waste,HHW,Brooklyn
Dry-Cell Batteries,0,0,0.001,0,0,Special Waste,HHW,Brooklyn
Fluorescent Tubes/CFLs,0,0,0,0,0,Special Waste,HHW,Brooklyn
Mercury-Laden Wastes,0,0,0,0,0,Special Waste,HHW,Brooklyn
Compressed Gas Cylinders/Fire Extinguishers,0,0,0,0,0,Special Waste,HHW,Brooklyn
Home Medical Products,0.001,0.001,0.001,0,0,Special Waste,HHW,Brooklyn
Other HHW,0,0,0,0,0,Special Waste,HHW,Brooklyn
Miscellaneous Inorganics,0.009,0.01,0.012,0.001,0,Miscellaneous Inorganics,Other,Brooklyn
Newspaper,0.018,0.01,0.011,0.095,0,Paper,Designated Paper,Queens
Plain OCC/Kraft Paper,0.054,0.012,0.013,0.461,0.004,Paper,Designated Paper,Queens
Paper Bags: Kraft Grocery,0.001,0.001,0.001,0.002,0,Paper,Designated Paper,Queens
Paper Bags: Non-food Retail,0.002,0.002,0,0.008,0,Paper,Designated Paper,Queens
Paper Bags: Fast Food Bags,0.001,0.002,0,0.001,0,Paper,Designated Paper,Queens
Paper Bags: Compostable/Soiled,0.002,0.002,0,0.002,0.001,Paper,Organics Suitable for Composting,Queens
High Grade Paper,0.006,0.004,0.001,0.026,0.001,Paper,Designated Paper,Queens
Mixed Low Grade Paper,0.07,0.051,0.033,0.278,0.01,Paper,Designated Paper,Queens
Compostable/Soiled Paper/Waxed OCC/Kraft,0.077,0.094,0.007,0.009,0.02,Paper,Organics Suitable for Composting,Queens
Compostable/School Plates/Trays,0,0,0,0,0,Paper,Organics Suitable for Composting,Queens
Compostable/School Paper Boats,0,0,0,0.002,0,Paper,Organics Suitable for Composting,Queens
Other Non-recyclable Paper,0.008,0.009,0.007,0.005,0.005,Paper,Other,Queens
Beverage Cartons & Aseptic Boxes,0.003,0.002,0.015,0.004,0,Paper,Designated MGP,Queens
Shredded Paper,0.003,0.002,0,0.019,0.003,Paper,Designated Paper,Queens
Drinking Cups - Paper and Plastic: Paper - Compostable,0,0,0,0,0,Paper,Organics Suitable for Composting,Queens
Drinking Cups - Paper and Plastic: Paper - Non-Compostable,0.002,0.002,0.001,0,0.001,Paper,Other,Queens
Drinking Cups - Paper and Plastic: Plastic - Single Use: #1 PET All,0,0,0.001,0,0,Plastic,Designated MGP,Queens
Drinking Cups - Paper and Plastic: Plastic - Single Use: #2 HDPE Natural,0,0,0,0,0,Plastic,Designated MGP,Queens
Drinking Cups - Paper and Plastic: Plastic - Single Use: #2 HDPE Pig.,0,0,0,0,0,Plastic,Designated MGP,Queens
Drinking Cups - Paper and Plastic: Plastic - Single Use: #3 PVC,0,0,0,0,0,Plastic,Designated MGP,Queens
Drinking Cups - Paper and Plastic: Plastic - Single Use: #4 LDPE/LLDPE,0,0,0,0,0,Plastic,Designated MGP,Queens
Drinking Cups - Paper and Plastic: Plastic - Single Use: #5 PP Rigid,0.001,0.001,0.002,0,0,Plastic,Designated MGP,Queens
Drinking Cups - Paper and Plastic: Plastic - Single Use: #5 PP Expanded,0,0,0,0,0,Plastic,Other,Queens
Drinking Cups - Paper and Plastic: Plastic - Single Use: #6 PS Rigid,0.001,0.001,0.001,0,0,Plastic,Designated MGP,Queens
Drinking Cups - Paper and Plastic: Plastic - Single Use: #7 Other,0,0,0,0,0,Plastic,Designated MGP,Queens
Drinking Cups - Paper and Plastic: Plastic - Single Use: Compostable,0,0,0,0,0,Plastic,Designated MGP,Queens
Drinking Cups - Paper and Plastic: Plastic - Single Use: Other & Unlabeled,0,0,0,0,0,Plastic,Designated MGP,Queens
Drinking Cups - Paper and Plastic: Plastic - Durable: #1 PET All,0,0,0,0,0,Plastic,Designated MGP,Queens
Drinking Cups - Paper and Plastic: Plastic - Durable: #2 HDPE Natural,0,0,0,0,0,Plastic,Designated MGP,Queens
Drinking Cups - Paper and Plastic: Plastic - Durable: #2 HDPE Pig.,0,0,0,0,0,Plastic,Designated MGP,Queens
Drinking Cups - Paper and Plastic: Plastic - Durable: #3 PVC,0,0,0,0,0,Plastic,Designated MGP,Queens
Drinking Cups - Paper and Plastic: Plastic - Durable: #4 LDPE/LLDPE,0,0,0,0,0,Plastic,Designated MGP,Queens
Drinking Cups - Paper and Plastic: Plastic - Durable: #5 PP Rigid,0,0,0,0,0,Plastic,Designated MGP,Queens
Drinking Cups - Paper and Plastic: Plastic - Durable: #5 PP Expanded,0,0,0,0,0,Plastic,Other,Queens
Drinking Cups - Paper and Plastic: Plastic - Durable: #6 PS Rigid,0,0,0,0,0,Plastic,Designated MGP,Queens
Drinking Cups - Paper and Plastic: Plastic - Durable: #7 Other,0,0,0,0,0,Plastic,Designated MGP,Queens
Drinking Cups - Paper and Plastic: Plastic - Durable: Compostable,0,0,0,0,0,Plastic,Designated MGP,Queens
Drinking Cups - Paper and Plastic: Plastic - Durable: Other & Unlabeled,0,0,0,0,0,Plastic,Designated MGP,Queens
K-Cups: Predominanty Plastic: #1 PET All,0,0,0,0,0,Plastic,Designated MGP,Queens
K-Cups: Predominanty Plastic: #2 HDPE Natural,0,0,0,0,0,Plastic,Designated MGP,Queens
K-Cups: Predominanty Plastic: #2 HDPE Pig.,0,0,0,0,0,Plastic,Designated MGP,Queens
K-Cups: Predominanty Plastic: #3 PVC,0,0,0,0,0,Plastic,Designated MGP,Queens
K-Cups: Predominanty Plastic: #4 LDPE/LLDPE,0,0,0,0,0,Plastic,Designated MGP,Queens
K-Cups: Predominanty Plastic: #5 PP Rigid,0,0,0,0,0,Plastic,Designated MGP,Queens
K-Cups: Predominanty Plastic: #5 PP Expanded,0,0,0,0,0,Plastic,Other,Queens
K-Cups: Predominanty Plastic: #6 PS Rigid,0,0,0,0,0,Plastic,Designated MGP,Queens
K-Cups: Predominanty Plastic: #7 Other,0,0,0,0,0,Plastic,Designated MGP,Queens
K-Cups: Predominanty Plastic: Compostable,0,0,0,0,0,Plastic,Organics Suitable for Composting,Queens
K-Cups: Predominanty Plastic: Other & Unlabeled,0,0.001,0,0,0,Plastic,Designated MGP,Queens
K-Cups: Predominanty Metal,0,0,0,0,0,Plastic,Designated MGP,Queens
K-Cups: Predominanty Organic,0,0.001,0,0,0,Plastic,Designated MGP,Queens
Plastic Bottles: #1 PET - Clear,0.01,0.005,0.054,0.003,0.001,Plastic,Designated MGP,Queens
Plastic Bottles: #1 PET - Green,0,0,0.002,0,0,Plastic,Designated MGP,Queens
Plastic Bottles: #1 PET - Other,0.001,0,0.003,0,0,Plastic,Designated MGP,Queens
#2 HDPE Natural Bottles,0.005,0.001,0.038,0,0,Plastic,Designated MGP,Queens
#2 HDPE Colored Bottles,0.005,0.002,0.041,0,0.001,Plastic,Designated MGP,Queens
Plastic Bottles: #3 PVC,0,0,0,0,0,Plastic,Designated MGP,Queens
Plastic Bottles: #4 LDPE/LLDPE,0,0,0,0,0,Plastic,Designated MGP,Queens
Plastic Bottles: #5 PP Rigid,0.001,0,0.004,0,0,Plastic,Designated MGP,Queens
Plastic Bottles: #5 PP Expanded,0,0,0,0,0,Plastic,Other,Queens
Plastic Bottles: #6 PS Rigid,0,0,0,0,0,Plastic,Designated MGP,Queens
Plastic Bottles: #7 Other,0,0,0.001,0,0,Plastic,Designated MGP,Queens
Plastic Bottles: Compostable,0,0,0,0,0,Plastic,Designated MGP,Queens
Plastic Bottles: Other & Unlabeled,0,0,0,0,0,Plastic,Designated MGP,Queens
Thermoforms: #1 PET All,0.004,0.002,0.021,0.002,0,Plastic,Designated MGP,Queens
Thermoforms: #2 HDPE Natural,0,0,0,0,0,Plastic,Designated MGP,Queens
Thermoforms: #2 HDPE Pig.,0,0,0,0,0,Plastic,Designated MGP,Queens
Thermoforms: #3 PVC,0,0,0.001,0,0,Plastic,Designated MGP,Queens
Thermoforms: #4 LDPE/LLDPE,0,0,0,0,0,Plastic,Designated MGP,Queens
Thermoforms: #5 PP Rigid,0.002,0.001,0.01,0,0,Plastic,Designated MGP,Queens
Thermoforms: #5 PP Expanded,0,0,0,0,0,Plastic,Other,Queens
Thermoforms: #6 PS Rigid,0.001,0.001,0.005,0,0,Plastic,Designated MGP,Queens
Thermoforms: #7 Other,0,0,0,0,0,Plastic,Designated MGP,Queens
Thermoforms: Compostable,0,0,0,0,0,Plastic,Designated MGP,Queens
Thermoforms: Other & Unlabeled,0.001,0.001,0.003,0.001,0,Plastic,Designated MGP,Queens
Other PVC (Non-bottle),0,0,0.001,0,0,Plastic,Designated MGP,Queens
